Step,price,liquidity,iteration,scenario,region,coin
1,1.0593549442085597,6300000000000.0,915,S0_baseline,eurozone,USDC
2,1.0379970013125084,6300000000000.0,915,S0_baseline,eurozone,USDC
3,1.0469073625310537,6300000000000.0,915,S0_baseline,eurozone,USDC
4,1.0355002621117322,6300000000000.0,915,S0_baseline,eurozone,USDC
5,1.0691149472526271,6300000000000.0,915,S0_baseline,eurozone,USDC
6,1.0460622103070192,6300000000000.0,915,S0_baseline,eurozone,USDC
7,1.0407819301753183,6300000000000.0,915,S0_baseline,eurozone,USDC
8,0.9087897093167092,6300000000000.0,915,S0_baseline,eurozone,USDC
9,0.9218513485593711,6292223774730.496,915,S0_baseline,eurozone,USDC
10,0.9263756509723564,6286355408419.678,915,S0_baseline,eurozone,USDC
11,0.9402108720960949,6281347952209.012,915,S0_baseline,eurozone,USDC
12,0.946644675716245,6278087889389.278,915,S0_baseline,eurozone,USDC
13,0.9553895422892565,6275614379465.809,915,S0_baseline,eurozone,USDC
14,0.9755711548066427,6274083830399.842,915,S0_baseline,eurozone,USDC
15,0.9648442692359362,6274083830399.842,915,S0_baseline,eurozone,USDC
16,1.0009993536288173,6273617031187.647,915,S0_baseline,eurozone,USDC
17,0.9761492419071898,6273617031187.647,915,S0_baseline,eurozone,USDC
18,0.9804457556758023,6273617031187.647,915,S0_baseline,eurozone,USDC
19,0.9923002956150455,6273617031187.647,915,S0_baseline,eurozone,USDC
20,1.0132361336090994,6273617031187.647,915,S0_baseline,eurozone,USDC
21,1.0271652955901174,6273617031187.647,915,S0_baseline,eurozone,USDC
22,1.0437797727661138,6273617031187.647,915,S0_baseline,eurozone,USDC
23,1.0288374931042252,6273617031187.647,915,S0_baseline,eurozone,USDC
24,0.9620591703541089,6273617031187.647,915,S0_baseline,eurozone,USDC
25,0.9594185946438015,6272801524100.544,915,S0_baseline,eurozone,USDC
26,0.9708758349064334,6271749988748.145,915,S0_baseline,eurozone,USDC
27,0.9640930901864238,6271749988748.145,915,S0_baseline,eurozone,USDC
28,0.9612869511463384,6271178148656.3125,915,S0_baseline,eurozone,USDC
29,0.968799723608158,6270305243546.261,915,S0_baseline,eurozone,USDC
30,0.9534022241458445,6270248502817.341,915,S0_baseline,eurozone,USDC
31,0.9723641789866831,6268633078191.381,915,S0_baseline,eurozone,USDC
32,0.9784488732354153,6268633078191.381,915,S0_baseline,eurozone,USDC
33,0.9500116136497506,6268633078191.381,915,S0_baseline,eurozone,USDC
34,0.9522563232038204,6266683013729.11,915,S0_baseline,eurozone,USDC
35,0.9499683866298347,6265020253311.242,915,S0_baseline,eurozone,USDC
36,0.9476360495007697,6263140580606.928,915,S0_baseline,eurozone,USDC
37,0.9378094272347741,6261121548332.002,915,S0_baseline,eurozone,USDC
38,0.9460528437524492,6258273425438.584,915,S0_baseline,eurozone,USDC
39,0.952466191528173,6256192900813.333,915,S0_baseline,eurozone,USDC
40,0.9487501114793437,6254772833304.585,915,S0_baseline,eurozone,USDC
41,0.9579912567497719,6253003334641.472,915,S0_baseline,eurozone,USDC
42,0.9729918935190279,6252054585582.826,915,S0_baseline,eurozone,USDC
43,0.9759693532093467,6252054585582.826,915,S0_baseline,eurozone,USDC
44,0.9955911110791631,6252054585582.826,915,S0_baseline,eurozone,USDC
45,0.9868621667009524,6252054585582.826,915,S0_baseline,eurozone,USDC
46,1.0155189670990306,6252054585582.826,915,S0_baseline,eurozone,USDC
47,0.998552292417916,6252054585582.826,915,S0_baseline,eurozone,USDC
48,0.9867052260699453,6252054585582.826,915,S0_baseline,eurozone,USDC
49,1.033723671772051,6252054585582.826,915,S0_baseline,eurozone,USDC
50,0.9983473156232838,6252054585582.826,915,S0_baseline,eurozone,USDC
51,0.982600009375102,6252054585582.826,915,S0_baseline,eurozone,USDC
52,0.994515674655054,6252054585582.826,915,S0_baseline,eurozone,USDC
53,1.0165088415624899,6252054585582.826,915,S0_baseline,eurozone,USDC
54,1.031618902920773,6252054585582.826,915,S0_baseline,eurozone,USDC
55,1.0283106594272131,6252054585582.826,915,S0_baseline,eurozone,USDC
56,1.0330228007426985,6252054585582.826,915,S0_baseline,eurozone,USDC
57,1.0491538535872738,6252054585582.826,915,S0_baseline,eurozone,USDC
58,1.0041575170159964,6252054585582.826,915,S0_baseline,eurozone,USDC
59,1.0254365081239398,6252054585582.826,915,S0_baseline,eurozone,USDC
60,1.0324639574414445,6252054585582.826,915,S0_baseline,eurozone,USDC
61,1.0159105678595253,6252054585582.826,915,S0_baseline,eurozone,USDC
62,1.0189960161523586,6252054585582.826,915,S0_baseline,eurozone,USDC
63,1.0066256559874167,6252054585582.826,915,S0_baseline,eurozone,USDC
64,1.0199707974245786,6252054585582.826,915,S0_baseline,eurozone,USDC
65,1.0346674509164882,6252054585582.826,915,S0_baseline,eurozone,USDC
66,0.9494311486882979,6252054585582.826,915,S0_baseline,eurozone,USDC
67,0.9528113710144206,6250399437989.992,915,S0_baseline,eurozone,USDC
68,0.9463886443667944,6249082619476.062,915,S0_baseline,eurozone,USDC
69,0.9671793806185396,6247254988104.596,915,S0_baseline,eurozone,USDC
70,0.954552406525427,6247119941854.857,915,S0_baseline,eurozone,USDC
71,0.9517788152941573,6246028486433.738,915,S0_baseline,eurozone,USDC
72,0.9416641288677401,6244714458964.164,915,S0_baseline,eurozone,USDC
73,0.9465278932671688,6242791145820.693,915,S0_baseline,eurozone,USDC
74,0.9206565798795336,6241170044636.891,915,S0_baseline,eurozone,USDC
75,0.9253392437213779,6237882749328.695,915,S0_baseline,eurozone,USDC
76,0.9113714907347625,6235061999103.746,915,S0_baseline,eurozone,USDC
77,0.9245187492961402,6231513104328.313,915,S0_baseline,eurozone,USDC
78,0.9441306946775004,6228935370289.745,915,S0_baseline,eurozone,USDC
79,0.9262347429851507,6227601139771.239,915,S0_baseline,eurozone,USDC
80,0.9524196476627024,6225356012114.441,915,S0_baseline,eurozone,USDC
81,0.9535244436497124,6224536277865.458,915,S0_baseline,eurozone,USDC
82,0.9584569772435799,6223714244656.668,915,S0_baseline,eurozone,USDC
83,0.9394739600886548,6223220965869.001,915,S0_baseline,eurozone,USDC
84,0.9384617597520083,6221768463658.325,915,S0_baseline,eurozone,USDC
85,0.9627707818825018,6220264389468.694,915,S0_baseline,eurozone,USDC
86,0.9923970203002042,6219978852854.967,915,S0_baseline,eurozone,USDC
87,0.9765680019509677,6219978852854.967,915,S0_baseline,eurozone,USDC
88,0.9811485395861091,6219978852854.967,915,S0_baseline,eurozone,USDC
89,1.025149153862164,6219978852854.967,915,S0_baseline,eurozone,USDC
90,1.0145949096053406,6219978852854.967,915,S0_baseline,eurozone,USDC
91,1.0283582798450333,6219978852854.967,915,S0_baseline,eurozone,USDC
92,1.0215219109812164,6219978852854.967,915,S0_baseline,eurozone,USDC
