Step,price,liquidity,iteration,scenario,region,coin
1,1.0151652773056457,6300000000000.0,691,S3_twin_shock,eurozone,USDC
2,1.0131127071878658,6300000000000.0,691,S3_twin_shock,eurozone,USDC
3,0.988042435700812,6300000000000.0,691,S3_twin_shock,eurozone,USDC
4,0.9675319100695354,6300000000000.0,691,S3_twin_shock,eurozone,USDC
5,0.9559984396270599,6299679402751.301,691,S3_twin_shock,eurozone,USDC
6,0.9316988191521188,6297889411371.115,691,S3_twin_shock,eurozone,USDC
7,0.9306732763475734,6293110796557.888,691,S3_twin_shock,eurozone,USDC
8,0.9443413054597405,6288281685856.597,691,S3_twin_shock,eurozone,USDC
9,0.9652061415718765,6285258676713.359,691,S3_twin_shock,eurozone,USDC
10,0.9716751483538858,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
11,0.9776803972086994,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
12,0.981807060545148,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
13,0.9854189975078183,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
14,1.0080308358432846,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
15,0.9951102548732839,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
16,1.0071890036184954,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
17,1.0023998794155735,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
18,1.0344484638998952,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
19,1.021963352549775,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
20,1.0164964176475761,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
21,1.023320082491309,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
22,1.046989839148863,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
23,1.092966236754495,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
24,1.1229067596655464,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
25,1.1327826589746046,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
26,1.1403183925963423,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
27,1.1243202898020126,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
28,1.1272626779987631,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
29,1.092454823497512,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
30,1.085948191381935,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
31,1.0647517535625997,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
32,1.0294737837621626,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
33,1.062354314766064,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
34,1.0787560145305997,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
35,1.0951040044973894,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
36,1.090702225878263,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
37,1.0942276545695184,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
38,1.0551272023522678,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
39,1.0604134517580848,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
40,1.0561005974155664,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
41,1.041679648177647,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
42,1.0258118967459562,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
43,1.0551393471868198,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
44,1.0569597822312244,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
45,1.056403651729358,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
46,1.0812393836081797,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
47,1.082203546676371,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
48,1.117386880273445,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
49,1.129980475702203,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
50,1.0758310666712665,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
51,1.1140012882957353,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
52,1.1101604120233832,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
53,1.0794345079636167,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
54,1.0895911195578902,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
55,1.082863830195156,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
56,1.0817820063729338,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
57,1.085493864600115,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
58,1.108324616761189,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
59,1.1087968083594268,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
60,1.117414817623678,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
61,1.0899139056738154,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
62,0.9269270177444735,6284765802900.5625,691,S3_twin_shock,eurozone,USDC
63,0.9286748232765608,6279847232320.3,691,S3_twin_shock,eurozone,USDC
64,0.9439583377401307,6275726946800.942,691,S3_twin_shock,eurozone,USDC
65,0.9555675101024891,6272995875882.059,691,S3_twin_shock,eurozone,USDC
66,0.9711196867212235,6271522930543.333,691,S3_twin_shock,eurozone,USDC
67,0.9771418849594526,6271522930543.333,691,S3_twin_shock,eurozone,USDC
68,0.9705722591246598,6271522930543.333,691,S3_twin_shock,eurozone,USDC
69,0.9438791427909745,6271522930543.333,691,S3_twin_shock,eurozone,USDC
70,0.962280079620686,6269178880006.894,691,S3_twin_shock,eurozone,USDC
71,0.9819668266757191,6268606440433.014,691,S3_twin_shock,eurozone,USDC
72,0.9681579185409251,6268606440433.014,691,S3_twin_shock,eurozone,USDC
73,0.9524108217523575,6268478528281.857,691,S3_twin_shock,eurozone,USDC
74,0.9645878358680972,6266842574046.695,691,S3_twin_shock,eurozone,USDC
75,0.9482281862536504,6266437450460.743,691,S3_twin_shock,eurozone,USDC
76,0.9465937096036465,6264362676280.725,691,S3_twin_shock,eurozone,USDC
77,0.941213718967873,6262348126699.066,691,S3_twin_shock,eurozone,USDC
78,0.9355097419356532,6259726256592.033,691,S3_twin_shock,eurozone,USDC
79,0.9568414558056386,6256867920279.602,691,S3_twin_shock,eurozone,USDC
80,0.9844555894945707,6255928128267.942,691,S3_twin_shock,eurozone,USDC
81,0.9857742190577732,6255928128267.942,691,S3_twin_shock,eurozone,USDC
82,0.9839691281304709,6255928128267.942,691,S3_twin_shock,eurozone,USDC
83,0.9486700624391451,6255928128267.942,691,S3_twin_shock,eurozone,USDC
