Step,price,liquidity,iteration,scenario,region,coin
1,250001.02592003706,6300012500000.0,647,S4_twin_shock_cex_intervention,eurozone,USDC
2,187502.0,6300021875000.0,647,S4_twin_shock_cex_intervention,eurozone,USDC
3,140627.0,6300028906250.0,647,S4_twin_shock_cex_intervention,eurozone,USDC
4,105470.75,6300034179687.5,647,S4_twin_shock_cex_intervention,eurozone,USDC
5,79103.5625,6300038134765.625,647,S4_twin_shock_cex_intervention,eurozone,USDC
6,59328.171875,6300041101074.219,647,S4_twin_shock_cex_intervention,eurozone,USDC
7,44496.62890625,6300043325805.664,647,S4_twin_shock_cex_intervention,eurozone,USDC
8,33372.9716796875,6300044994354.248,647,S4_twin_shock_cex_intervention,eurozone,USDC
9,25030.228759765625,6300046245765.687,647,S4_twin_shock_cex_intervention,eurozone,USDC
10,18773.17156982422,6300047184324.266,647,S4_twin_shock_cex_intervention,eurozone,USDC
11,14080.378677368164,6300047888243.199,647,S4_twin_shock_cex_intervention,eurozone,USDC
12,10560.784008026123,6300048416182.398,647,S4_twin_shock_cex_intervention,eurozone,USDC
13,7921.088006019592,6300048812136.799,647,S4_twin_shock_cex_intervention,eurozone,USDC
14,5941.316004514694,6300049109102.6,647,S4_twin_shock_cex_intervention,eurozone,USDC
15,4456.487003386021,6300049331826.949,647,S4_twin_shock_cex_intervention,eurozone,USDC
16,3342.8652525395155,6300049498870.212,647,S4_twin_shock_cex_intervention,eurozone,USDC
17,2507.6489394046366,6300049624152.659,647,S4_twin_shock_cex_intervention,eurozone,USDC
18,1881.2367045534775,6300049718114.494,647,S4_twin_shock_cex_intervention,eurozone,USDC
19,1411.427528415108,6300049788585.871,647,S4_twin_shock_cex_intervention,eurozone,USDC
20,1059.070646311331,6300049841439.402,647,S4_twin_shock_cex_intervention,eurozone,USDC
21,794.8029847334983,6300049881079.552,647,S4_twin_shock_cex_intervention,eurozone,USDC
22,596.6022385501237,6300049910809.664,647,S4_twin_shock_cex_intervention,eurozone,USDC
23,447.9516789125928,6300049933107.248,647,S4_twin_shock_cex_intervention,eurozone,USDC
24,336.4637591844446,6300049949830.437,647,S4_twin_shock_cex_intervention,eurozone,USDC
25,252.84781938833345,6300049962372.827,647,S4_twin_shock_cex_intervention,eurozone,USDC
26,190.1358645412501,6300049971779.62,647,S4_twin_shock_cex_intervention,eurozone,USDC
27,143.1018984059376,6300049978834.715,647,S4_twin_shock_cex_intervention,eurozone,USDC
28,107.82642380445319,6300049984126.035,647,S4_twin_shock_cex_intervention,eurozone,USDC
29,81.3698178533399,6300049988094.526,647,S4_twin_shock_cex_intervention,eurozone,USDC
30,61.52736339000492,6300049991070.895,647,S4_twin_shock_cex_intervention,eurozone,USDC
31,46.6455225425037,6300049993303.171,647,S4_twin_shock_cex_intervention,eurozone,USDC
32,35.484141906877774,6300049994977.379,647,S4_twin_shock_cex_intervention,eurozone,USDC
33,27.11310643015833,6300049996233.033,647,S4_twin_shock_cex_intervention,eurozone,USDC
34,20.834829822618744,6300049997174.775,647,S4_twin_shock_cex_intervention,eurozone,USDC
35,16.12612236696406,6300049997881.081,647,S4_twin_shock_cex_intervention,eurozone,USDC
36,12.594591775223044,6300049998410.811,647,S4_twin_shock_cex_intervention,eurozone,USDC
37,9.945943831417281,6300049998808.107,647,S4_twin_shock_cex_intervention,eurozone,USDC
38,7.959457873562963,6300049999106.08,647,S4_twin_shock_cex_intervention,eurozone,USDC
39,6.469593405172222,6300049999329.56,647,S4_twin_shock_cex_intervention,eurozone,USDC
40,5.352195053879166,6300049999497.169,647,S4_twin_shock_cex_intervention,eurozone,USDC
41,4.514146290409375,6300049999622.876,647,S4_twin_shock_cex_intervention,eurozone,USDC
42,3.8856097178070312,6300049999717.156,647,S4_twin_shock_cex_intervention,eurozone,USDC
43,3.414207288355273,6300049999787.867,647,S4_twin_shock_cex_intervention,eurozone,USDC
44,3.060655466266455,6300049999840.899,647,S4_twin_shock_cex_intervention,eurozone,USDC
45,2.795491599699841,6300049999880.674,647,S4_twin_shock_cex_intervention,eurozone,USDC
46,2.596618699774881,6300049999910.505,647,S4_twin_shock_cex_intervention,eurozone,USDC
47,2.4474640248311608,6300049999932.878,647,S4_twin_shock_cex_intervention,eurozone,USDC
48,2.3355980186233705,6300049999949.658,647,S4_twin_shock_cex_intervention,eurozone,USDC
49,2.251698513967528,6300049999962.243,647,S4_twin_shock_cex_intervention,eurozone,USDC
50,2.188773885475646,6300049999971.682,647,S4_twin_shock_cex_intervention,eurozone,USDC
51,2.1415804141067345,6300049999978.761,647,S4_twin_shock_cex_intervention,eurozone,USDC
52,2.099090026229931,6300049999984.07,647,S4_twin_shock_cex_intervention,eurozone,USDC
53,2.079638982935038,6300049999988.053,647,S4_twin_shock_cex_intervention,eurozone,USDC
54,2.042999047722603,6300049999991.039,647,S4_twin_shock_cex_intervention,eurozone,USDC
55,1.9698634790579135,6300049999993.279,647,S4_twin_shock_cex_intervention,eurozone,USDC
56,1.9467881837373593,6300049999994.959,647,S4_twin_shock_cex_intervention,eurozone,USDC
57,1.8992142649128136,6300049999996.219,647,S4_twin_shock_cex_intervention,eurozone,USDC
58,1.7893778604949944,6300049999997.164,647,S4_twin_shock_cex_intervention,eurozone,USDC
59,1.7400001607413695,6300049999997.873,647,S4_twin_shock_cex_intervention,eurozone,USDC
60,1.6425574704578945,6300049999998.404,647,S4_twin_shock_cex_intervention,eurozone,USDC
61,1.6593596698099566,6300049999998.803,647,S4_twin_shock_cex_intervention,eurozone,USDC
62,1.5899450095861387,6300049999999.102,647,S4_twin_shock_cex_intervention,eurozone,USDC
63,1.5530346906688328,6300049999999.326,647,S4_twin_shock_cex_intervention,eurozone,USDC
64,1.4889400646939313,6300049999999.494,647,S4_twin_shock_cex_intervention,eurozone,USDC
65,1.4215079463840297,6300049999999.62,647,S4_twin_shock_cex_intervention,eurozone,USDC
66,1.4046636783515678,6300049999999.715,647,S4_twin_shock_cex_intervention,eurozone,USDC
67,1.3486629406290036,6300049999999.785,647,S4_twin_shock_cex_intervention,eurozone,USDC
68,1.3078918594934872,6300049999999.839,647,S4_twin_shock_cex_intervention,eurozone,USDC
69,1.257759172549101,6300049999999.879,647,S4_twin_shock_cex_intervention,eurozone,USDC
70,1.2216560241734005,6300049999999.908,647,S4_twin_shock_cex_intervention,eurozone,USDC
71,1.209362960669849,6300049999999.932,647,S4_twin_shock_cex_intervention,eurozone,USDC
72,1.1775716535285206,6300049999999.948,647,S4_twin_shock_cex_intervention,eurozone,USDC
73,1.2032642747106357,6300049999999.961,647,S4_twin_shock_cex_intervention,eurozone,USDC
74,1.17248691793501,6300049999999.971,647,S4_twin_shock_cex_intervention,eurozone,USDC
75,1.1268332308275728,6300049999999.978,647,S4_twin_shock_cex_intervention,eurozone,USDC
76,1.1437308403290358,6300049999999.982,647,S4_twin_shock_cex_intervention,eurozone,USDC
77,1.1477315673491177,6300049999999.986,647,S4_twin_shock_cex_intervention,eurozone,USDC
78,1.1196409360537405,6300049999999.989,647,S4_twin_shock_cex_intervention,eurozone,USDC
79,1.0835348381756016,6300049999999.991,647,S4_twin_shock_cex_intervention,eurozone,USDC
80,1.0961005918924112,6300049999999.993,647,S4_twin_shock_cex_intervention,eurozone,USDC
81,1.1007365106780627,6300049999999.994,647,S4_twin_shock_cex_intervention,eurozone,USDC
82,1.108542397774306,6300049999999.995,647,S4_twin_shock_cex_intervention,eurozone,USDC
83,1.1046536927854802,6300049999999.996,647,S4_twin_shock_cex_intervention,eurozone,USDC
84,1.1032618315424756,6300049999999.996,647,S4_twin_shock_cex_intervention,eurozone,USDC
85,1.0800752410022914,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
86,1.057253610202222,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
87,1.0245000066105134,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
88,1.021590972837767,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
89,1.0180290621871988,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
90,1.0018569663277879,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
91,1.005646365404903,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
92,1.0170241492527092,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
93,1.0443530371015382,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
94,1.0288849719426136,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
95,1.0395802701062278,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
96,1.04973006383246,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
97,1.0507515678128325,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
98,1.0293723037530274,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
99,1.0098924072025377,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
100,1.0221345127616694,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
101,0.8732266277367174,6300049999999.997,647,S4_twin_shock_cex_intervention,eurozone,USDC
102,0.875184485145417,6287479438242.086,647,S4_twin_shock_cex_intervention,eurozone,USDC
103,0.862047318146007,6276878463538.861,647,S4_twin_shock_cex_intervention,eurozone,USDC
104,0.9060902412746956,6265921433669.695,647,S4_twin_shock_cex_intervention,eurozone,USDC
105,0.9161197580958895,6259868360309.306,647,S4_twin_shock_cex_intervention,eurozone,USDC
106,0.9256630304566207,6255225745901.804,647,S4_twin_shock_cex_intervention,eurozone,USDC
107,0.9551886980439857,6251826396802.658,647,S4_twin_shock_cex_intervention,eurozone,USDC
108,0.9689757869454707,6250758835503.37,647,S4_twin_shock_cex_intervention,eurozone,USDC
109,0.9827563988057679,6250758835503.37,647,S4_twin_shock_cex_intervention,eurozone,USDC
110,0.9882980690673709,6250758835503.37,647,S4_twin_shock_cex_intervention,eurozone,USDC
111,1.0062924351836133,6250758835503.37,647,S4_twin_shock_cex_intervention,eurozone,USDC
112,1.0390100723199662,6250758835503.37,647,S4_twin_shock_cex_intervention,eurozone,USDC
113,0.9664852896706166,6250758835503.37,647,S4_twin_shock_cex_intervention,eurozone,USDC
114,0.9764214202423861,6250613407032.836,647,S4_twin_shock_cex_intervention,eurozone,USDC
115,0.9884557426023972,6250613407032.836,647,S4_twin_shock_cex_intervention,eurozone,USDC
116,0.9610052111274935,6250613407032.836,647,S4_twin_shock_cex_intervention,eurozone,USDC
117,0.9637489683925411,6250057331788.516,647,S4_twin_shock_cex_intervention,eurozone,USDC
