Step,price,liquidity,iteration,scenario,region,coin
1,1.001773363453253,6300000000000.0,974,S5_twin_shock_imf_bailout,eurozone,USDC
2,0.9964666527945839,6300000000000.0,974,S5_twin_shock_imf_bailout,eurozone,USDC
3,0.9551013472903085,6300000000000.0,974,S5_twin_shock_imf_bailout,eurozone,USDC
4,0.9744452316467263,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
5,0.9761299009177133,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
6,0.9961000756543317,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
7,1.0099671329519035,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
8,1.0320988644268763,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
9,1.0177249776073831,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
10,1.010311086930298,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
11,1.0242601037100811,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
12,1.0760122752132062,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
13,1.0768726435721543,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
14,1.0601072683376136,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
15,1.0410727536824764,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
16,1.0356515344703399,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
17,1.0489765763026329,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
18,1.0416506955861051,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
19,1.069258270483744,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
20,1.0930672530513508,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
21,1.0975521263981756,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
22,1.083666512115466,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
23,1.0508720903913984,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
24,1.0543246702352291,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
25,1.0175997288557057,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
26,1.0464184991538887,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
27,1.019059627538251,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
28,1.0232539373604335,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
29,1.005054185665441,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
30,1.0199961646493627,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
31,1.0339996144517796,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
32,1.0341114438927692,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
33,1.0376317923284668,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
34,1.0238932479491962,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
35,1.025286339046264,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
36,1.0044094019652299,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
37,0.9838916759469871,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
38,0.9853004904318783,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
39,0.9689435328411871,6298089011908.507,974,S5_twin_shock_imf_bailout,eurozone,USDC
40,0.9437774227136206,6298009592359.723,974,S5_twin_shock_imf_bailout,eurozone,USDC
41,0.9601037335830924,6294708376381.033,974,S5_twin_shock_imf_bailout,eurozone,USDC
42,0.9355364074775583,6293513264486.959,974,S5_twin_shock_imf_bailout,eurozone,USDC
43,0.9280150855318278,6289385731113.591,974,S5_twin_shock_imf_bailout,eurozone,USDC
44,0.8982071416441567,6284391442400.548,974,S5_twin_shock_imf_bailout,eurozone,USDC
45,0.9146789193816167,6276498653567.145,974,S5_twin_shock_imf_bailout,eurozone,USDC
46,0.9178228139926871,6270880019175.273,974,S5_twin_shock_imf_bailout,eurozone,USDC
47,0.9286248639262377,6265668754452.696,974,S5_twin_shock_imf_bailout,eurozone,USDC
48,0.9461203950983814,6261820008538.086,974,S5_twin_shock_imf_bailout,eurozone,USDC
49,0.9776020965126605,6259704068559.553,974,S5_twin_shock_imf_bailout,eurozone,USDC
50,0.9522345393422296,6259704068559.553,974,S5_twin_shock_imf_bailout,eurozone,USDC
51,1.001741506519718,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
52,1.0199302082806663,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
53,1.028887648413118,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
54,1.0870248398947011,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
55,1.075083658824093,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
56,1.0356543901212802,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
57,1.005311944785735,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
58,0.9972320063383615,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
59,1.006790839692049,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
60,1.0226100913597567,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
61,1.027274005212105,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
62,1.001574205682315,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
63,0.9999044393651951,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
64,0.9940874529115437,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
65,1.0276697883826431,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
66,1.0034524871701995,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
67,1.0173911994748703,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
68,1.0272637934989277,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
69,1.0126026999129898,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
70,1.0414622631171442,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
71,1.0487985139915217,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
72,1.0364250031633349,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
73,1.0742212618217974,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
74,1.076961855767601,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
75,1.0892588803548546,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
76,1.09106208289093,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
77,1.0754253999657932,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
78,1.0528186830711106,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
79,1.0647913449707698,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
80,1.0806281359828713,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
81,1.0382753517799959,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
82,1.0198198458871253,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
83,1.001254758981458,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
84,0.9840595016866356,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
85,0.9767829528052641,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
86,0.9975187930663302,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
87,1.0026065348306865,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
88,0.9991832104034938,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
89,1.0072849375765458,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
90,0.9885393050982003,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
91,0.9690087691089796,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
92,0.9382646650414134,6258175343176.074,974,S5_twin_shock_imf_bailout,eurozone,USDC
93,0.9149905161839452,6255682009032.132,974,S5_twin_shock_imf_bailout,eurozone,USDC
94,0.9308372545516376,6251407681318.037,974,S5_twin_shock_imf_bailout,eurozone,USDC
95,0.9143348396588743,6248558391698.172,974,S5_twin_shock_imf_bailout,eurozone,USDC
96,0.9194926315071944,6244499024926.301,974,S5_twin_shock_imf_bailout,eurozone,USDC
97,0.9301799215278839,6241120740718.641,974,S5_twin_shock_imf_bailout,eurozone,USDC
98,0.9219212751235721,6238445734388.856,974,S5_twin_shock_imf_bailout,eurozone,USDC
99,0.9326695973811577,6235424257231.098,974,S5_twin_shock_imf_bailout,eurozone,USDC
100,0.9307122324255339,6233131550004.861,974,S5_twin_shock_imf_bailout,eurozone,USDC
