Step,price,liquidity,iteration,scenario,region,coin
1,0.9935369694207714,6300000000000.0,999,S6_worst_case_no_intervention,eurozone,USDC
2,0.9867438728419288,6300000000000.0,999,S6_worst_case_no_intervention,eurozone,USDC
3,0.9660931572020215,6300000000000.0,999,S6_worst_case_no_intervention,eurozone,USDC
4,0.9377962846993,6299529216487.003,999,S6_worst_case_no_intervention,eurozone,USDC
5,0.9515166107214174,6295361683343.016,999,S6_worst_case_no_intervention,eurozone,USDC
6,0.9675275454953867,6293075638377.24,999,S6_worst_case_no_intervention,eurozone,USDC
7,0.9849765870155252,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
8,1.007038292127015,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
9,1.02762495291821,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
10,1.0621009894080637,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
11,1.0593007121759739,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
12,1.0392185362326134,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
13,1.0325926849685878,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
14,1.0429234985649558,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
15,1.0516732267533073,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
16,1.0791272286816005,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
17,1.07453913534016,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
18,1.0625967608556053,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
19,1.058268616012742,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
20,1.0765091869971686,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
21,1.0573624018923766,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
22,1.0748994796221456,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
23,1.1034650255284186,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
24,1.0997314456491927,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
25,1.07872697601403,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
26,1.1103598346906494,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
27,1.0615795540175281,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
28,1.0611626552452555,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
29,1.0504518851206488,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
30,1.0746479961279516,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
31,1.1336161226620967,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
32,1.125479893108783,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
33,1.159376141223958,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
34,1.1285023384374977,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
35,1.0843254204519632,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
36,1.0998380838005302,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
37,1.1176404460532643,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
38,1.1189521204200876,6292807810176.895,999,S6_worst_case_no_intervention,eurozone,USDC
