Step,price,liquidity,iteration,scenario,region,coin
1,1.0228965636727834,2989683888050.085,952,S1_depeg_stablecoin,indonesia,USDC
2,1.0508705904079332,2989683888050.085,952,S1_depeg_stablecoin,indonesia,USDC
3,1.0635538225988541,2989683888050.085,952,S1_depeg_stablecoin,indonesia,USDC
4,1.0252673072689202,2989683888050.085,952,S1_depeg_stablecoin,indonesia,USDC
5,1.0270226310049482,2989683888050.085,952,S1_depeg_stablecoin,indonesia,USDC
6,0.9974605648481496,2989683888050.085,952,S1_depeg_stablecoin,indonesia,USDC
7,0.9634854407168147,2989683888050.085,952,S1_depeg_stablecoin,indonesia,USDC
8,0.9754917105335051,2989280925620.1978,952,S1_depeg_stablecoin,indonesia,USDC
9,0.9611851402664291,2989280925620.1978,952,S1_depeg_stablecoin,indonesia,USDC
10,0.9521224443185018,2988760748707.821,952,S1_depeg_stablecoin,indonesia,USDC
11,0.9609514037385489,2987685272955.2285,952,S1_depeg_stablecoin,indonesia,USDC
12,0.9199110043732037,2987166089732.3887,952,S1_depeg_stablecoin,indonesia,USDC
13,0.9466900573480218,2984197815764.674,952,S1_depeg_stablecoin,indonesia,USDC
14,0.917264723745363,2982932454418.9116,952,S1_depeg_stablecoin,indonesia,USDC
15,0.9157764878512875,2980083858794.373,952,S1_depeg_stablecoin,indonesia,USDC
16,0.9424871267985035,2977312959991.3564,952,S1_depeg_stablecoin,indonesia,USDC
17,0.9484745353298474,2975993288074.42,952,S1_depeg_stablecoin,indonesia,USDC
18,0.94948673697879,2975007651880.499,952,S1_depeg_stablecoin,indonesia,USDC
19,0.9558564234705325,2974062965604.982,952,S1_depeg_stablecoin,indonesia,USDC
20,1.0016006707694103,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
21,0.9979258535474709,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
22,0.9995551771029546,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
23,0.9749320460384253,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
24,1.0100728977915345,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
25,0.987209747561782,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
26,0.9888863652226249,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
27,1.0135865707020772,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
28,1.0403361889222396,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
29,1.0270041165053416,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
30,1.0194853972004059,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
31,1.0260714372747262,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
32,1.02327319579414,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
33,1.024514316256808,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
34,1.004339822140764,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
35,1.0190149606238195,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
36,0.9512224614495919,2973415873976.42,952,S1_depeg_stablecoin,indonesia,USDC
37,0.9323593115760914,2972596773095.379,952,S1_depeg_stablecoin,indonesia,USDC
38,0.9513071920845604,2970969856898.5703,952,S1_depeg_stablecoin,indonesia,USDC
39,0.9580517202229197,2970174237635.387,952,S1_depeg_stablecoin,indonesia,USDC
40,0.957151141062241,2969699214481.8213,952,S1_depeg_stablecoin,indonesia,USDC
41,0.9457030433190232,2969193574246.818,952,S1_depeg_stablecoin,indonesia,USDC
42,0.8675617909748914,2968203919469.4976,952,S1_depeg_stablecoin,indonesia,USDC
43,0.8603830931512334,2964212187110.5073,952,S1_depeg_stablecoin,indonesia,USDC
44,0.9020257712369891,2960387132404.0386,952,S1_depeg_stablecoin,indonesia,USDC
45,0.8472825198499617,2958261166831.341,952,S1_depeg_stablecoin,indonesia,USDC
46,0.8632393820761869,2954645773386.412,952,S1_depeg_stablecoin,indonesia,USDC
47,0.8800865083146905,2951997074514.119,952,S1_depeg_stablecoin,indonesia,USDC
48,0.8762640909818876,2949956298117.426,952,S1_depeg_stablecoin,indonesia,USDC
49,0.9078166194607398,2948024597410.2817,952,S1_depeg_stablecoin,indonesia,USDC
50,0.9302365980742879,2946868440353.9653,952,S1_depeg_stablecoin,indonesia,USDC
51,0.9538045538829102,2946193096750.2217,952,S1_depeg_stablecoin,indonesia,USDC
52,0.9322756329035679,2945936545647.084,952,S1_depeg_stablecoin,indonesia,USDC
53,0.9481647961231812,2945346833168.0044,952,S1_depeg_stablecoin,indonesia,USDC
54,0.935620321721913,2945005052847.1753,952,S1_depeg_stablecoin,indonesia,USDC
55,0.9396189067558445,2944488861158.6943,952,S1_depeg_stablecoin,indonesia,USDC
56,0.9347026336146542,2944062833128.2344,952,S1_depeg_stablecoin,indonesia,USDC
57,0.9376995205906441,2943580361170.404,952,S1_depeg_stablecoin,indonesia,USDC
58,0.9641623789527298,2943156431362.923,952,S1_depeg_stablecoin,indonesia,USDC
59,0.9522319011559317,2943082785489.41,952,S1_depeg_stablecoin,indonesia,USDC
60,0.9476246973444291,2942867469057.8037,952,S1_depeg_stablecoin,indonesia,USDC
61,0.9157728294815487,2942563359145.297,952,S1_depeg_stablecoin,indonesia,USDC
62,0.9238033226464366,2941879018358.5356,952,S1_depeg_stablecoin,indonesia,USDC
63,0.9508275079980028,2941330112339.95,952,S1_depeg_stablecoin,indonesia,USDC
64,0.9740212412455278,2941109788583.296,952,S1_depeg_stablecoin,indonesia,USDC
65,0.9825991428122426,2941109788583.296,952,S1_depeg_stablecoin,indonesia,USDC
66,0.9912422424545947,2941109788583.296,952,S1_depeg_stablecoin,indonesia,USDC
67,1.013075069639286,2941109788583.296,952,S1_depeg_stablecoin,indonesia,USDC
68,1.0178170611888568,2941109788583.296,952,S1_depeg_stablecoin,indonesia,USDC
69,0.9993393786278185,2941109788583.296,952,S1_depeg_stablecoin,indonesia,USDC
70,0.980723493453777,2941109788583.296,952,S1_depeg_stablecoin,indonesia,USDC
71,0.9762463606014902,2941109788583.296,952,S1_depeg_stablecoin,indonesia,USDC
72,0.963071647895924,2941109788583.296,952,S1_depeg_stablecoin,indonesia,USDC
73,0.9203584680091323,2941042697889.9004,952,S1_depeg_stablecoin,indonesia,USDC
74,0.9278863292557018,2940461389929.0327,952,S1_depeg_stablecoin,indonesia,USDC
75,0.9457818657728717,2940006809843.0957,952,S1_depeg_stablecoin,indonesia,USDC
76,0.9698769056277431,2939758731573.678,952,S1_depeg_stablecoin,indonesia,USDC
77,0.9642362319314586,2939757453061.782,952,S1_depeg_stablecoin,indonesia,USDC
78,0.9790590187135273,2939709973564.158,952,S1_depeg_stablecoin,indonesia,USDC
79,0.9870283448730728,2939709973564.158,952,S1_depeg_stablecoin,indonesia,USDC
80,0.9928071969854085,2939709973564.158,952,S1_depeg_stablecoin,indonesia,USDC
81,0.9722869222060664,2939709973564.158,952,S1_depeg_stablecoin,indonesia,USDC
82,0.9696501545101172,2939709973564.158,952,S1_depeg_stablecoin,indonesia,USDC
83,0.9906064791872493,2939706357501.4795,952,S1_depeg_stablecoin,indonesia,USDC
84,0.9625692444719279,2939706357501.4795,952,S1_depeg_stablecoin,indonesia,USDC
85,0.9517553216921346,2939648917202.418,952,S1_depeg_stablecoin,indonesia,USDC
86,0.9484073223448494,2939478053944.333,952,S1_depeg_stablecoin,indonesia,USDC
87,0.9613716486307631,2939286077753.7544,952,S1_depeg_stablecoin,indonesia,USDC
88,0.9644671394501716,2939219783703.4575,952,S1_depeg_stablecoin,indonesia,USDC
89,0.9516028097922794,2939165391145.862,952,S1_depeg_stablecoin,indonesia,USDC
90,0.9398512232657984,2938985563294.41,952,S1_depeg_stablecoin,indonesia,USDC
91,0.9402793415824113,2938725295345.1123,952,S1_depeg_stablecoin,indonesia,USDC
92,0.9504316890286473,2938448267945.288,952,S1_depeg_stablecoin,indonesia,USDC
93,0.9648567429977007,2938278868637.483,952,S1_depeg_stablecoin,indonesia,USDC
94,0.9867916366193877,2938248865118.4053,952,S1_depeg_stablecoin,indonesia,USDC
95,0.9857061898010925,2938248865118.4053,952,S1_depeg_stablecoin,indonesia,USDC
96,0.989795385570789,2938248865118.4053,952,S1_depeg_stablecoin,indonesia,USDC
97,0.9747334671667752,2938248865118.4053,952,S1_depeg_stablecoin,indonesia,USDC
98,0.9558776240431146,2938248865118.4053,952,S1_depeg_stablecoin,indonesia,USDC
99,0.9709412059042415,2938130622559.3457,952,S1_depeg_stablecoin,indonesia,USDC
100,0.9658420793877781,2938130622559.3457,952,S1_depeg_stablecoin,indonesia,USDC
101,0.8093334634562613,2938109287809.674,952,S1_depeg_stablecoin,indonesia,USDC
102,0.8139757425576915,2936796547903.682,952,S1_depeg_stablecoin,indonesia,USDC
103,0.8282274184722374,2935652478344.8193,952,S1_depeg_stablecoin,indonesia,USDC
104,0.8526639933182469,2934797843201.157,952,S1_depeg_stablecoin,indonesia,USDC
105,0.8749185875221498,2934205224903.032,952,S1_depeg_stablecoin,indonesia,USDC
106,0.8970627480327571,2933762034084.201,952,S1_depeg_stablecoin,indonesia,USDC
107,0.9150718577265577,2933469907852.391,952,S1_depeg_stablecoin,indonesia,USDC
108,0.9403799755122312,2933261039711.2554,952,S1_depeg_stablecoin,indonesia,USDC
109,0.9290904444607732,2933162800715.051,952,S1_depeg_stablecoin,indonesia,USDC
110,0.9493153909895992,2933024544063.138,952,S1_depeg_stablecoin,indonesia,USDC
111,0.9623573369008885,2932956165503.8496,952,S1_depeg_stablecoin,indonesia,USDC
112,0.9718996510792346,2932930383118.132,952,S1_depeg_stablecoin,indonesia,USDC
113,0.9560987369005071,2932930383118.132,952,S1_depeg_stablecoin,indonesia,USDC
114,0.9502495293074952,2932886304099.0176,952,S1_depeg_stablecoin,indonesia,USDC
115,0.9693118484742528,2932829311172.1826,952,S1_depeg_stablecoin,indonesia,USDC
116,0.9429553452129186,2932827079700.3057,952,S1_depeg_stablecoin,indonesia,USDC
117,0.9498191708389886,2932739444099.161,952,S1_depeg_stablecoin,indonesia,USDC
118,0.9457686729130015,2932678510019.8525,952,S1_depeg_stablecoin,indonesia,USDC
119,0.9542593416932804,2932612073372.147,952,S1_depeg_stablecoin,indonesia,USDC
120,0.9792921126476083,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
121,0.9992505481557179,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
122,1.0167950967312427,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
123,1.0196718572266095,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
124,1.0131210654191671,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
125,1.006470490337796,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
126,1.0022741065365668,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
127,1.0000574265196016,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
128,1.0172647145451152,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
129,1.0276221993621797,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
130,1.0355440825661546,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
131,1.0520127186336008,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
132,1.0810380041526062,2932571460270.7046,952,S1_depeg_stablecoin,indonesia,USDC
