Step,price,liquidity,iteration,scenario,region,coin
1,0.9862772760272667,2988768984240.707,845,S2_panic_selling_defi,indonesia,USDC
2,0.9738571157841559,2988768984240.707,845,S2_panic_selling_defi,indonesia,USDC
3,0.9524026804763447,2988768984240.707,845,S2_panic_selling_defi,indonesia,USDC
4,0.9557070051366371,2987692757599.946,845,S2_panic_selling_defi,indonesia,USDC
5,0.9588497015389451,2986824513074.2207,845,S2_panic_selling_defi,indonesia,USDC
6,0.9971146478745128,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
7,0.9987743397897878,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
8,1.0094371033850738,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
9,1.034470546509144,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
10,1.04070064801345,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
11,1.0106772125640007,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
12,1.0129144208871441,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
13,1.0442335103164873,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
14,1.0221924770069353,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
15,1.0347343340571693,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
16,1.036737008590844,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
17,1.0472706348190495,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
18,1.047594124416764,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
19,1.0280428502623886,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
20,1.0462004602140422,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
21,1.027809035754885,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
22,1.0328215449528224,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
23,1.0169118400879515,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
24,0.9843227195668354,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
25,0.9490542189454558,2986178635994.757,845,S2_panic_selling_defi,indonesia,USDC
26,0.9265946860736752,2984955027741.926,845,S2_panic_selling_defi,indonesia,USDC
27,0.9341555674702873,2982510554413.116,845,S2_panic_selling_defi,indonesia,USDC
28,0.9655721195746315,2980566004345.8145,845,S2_panic_selling_defi,indonesia,USDC
29,0.9795823536127691,2980351099864.962,845,S2_panic_selling_defi,indonesia,USDC
30,0.9671212725118551,2980351099864.962,845,S2_panic_selling_defi,indonesia,USDC
31,0.9655915035872251,2980218858766.234,845,S2_panic_selling_defi,indonesia,USDC
32,0.9875321226216563,2979985027232.952,845,S2_panic_selling_defi,indonesia,USDC
33,1.0090551121586724,2979985027232.952,845,S2_panic_selling_defi,indonesia,USDC
34,0.9930653475252501,2979985027232.952,845,S2_panic_selling_defi,indonesia,USDC
35,1.0204283978862767,2979985027232.952,845,S2_panic_selling_defi,indonesia,USDC
36,1.0013208164864957,2979985027232.952,845,S2_panic_selling_defi,indonesia,USDC
37,1.0209524571179995,2979985027232.952,845,S2_panic_selling_defi,indonesia,USDC
38,0.9991843193065341,2979985027232.952,845,S2_panic_selling_defi,indonesia,USDC
39,0.9856807378483035,2979985027232.952,845,S2_panic_selling_defi,indonesia,USDC
40,0.9711210750753757,2979985027232.952,845,S2_panic_selling_defi,indonesia,USDC
41,0.9267388223039064,2979985027232.952,845,S2_panic_selling_defi,indonesia,USDC
