Step,price,liquidity,iteration,scenario,region,coin
1,0.9890862395553038,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
2,0.9804382214935623,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
3,0.9739064057804178,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
4,0.9955867287565163,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
5,1.0129083293218863,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
6,1.005007660005169,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
7,1.0499112040897158,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
8,1.056717015621086,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
9,1.0389039876806576,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
10,1.0528117817220137,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
11,1.0489337105857701,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
12,1.044923705529013,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
13,1.0119352652683649,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
14,1.0301086476066146,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
15,1.019833588495564,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
16,1.0160276145306164,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
17,1.0441132214070454,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
18,1.0376317897968557,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
19,1.025690516454294,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
20,1.0473702427999032,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
21,1.0080941234390135,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
22,1.0104572792205977,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
23,0.9831752421179892,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
24,0.9938625542046958,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
25,0.9958755993458787,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
26,1.0071346084229447,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
27,0.9961422840615717,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
28,0.9912660261968009,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
29,0.9923244918584082,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
30,0.9676363621781302,2989053644347.5703,304,S3_twin_shock,indonesia,USDC
31,0.9780486483300059,2988907439946.2173,304,S3_twin_shock,indonesia,USDC
32,0.9569967297154395,2988907439946.2173,304,S3_twin_shock,indonesia,USDC
33,0.9887992560460801,2988133161732.808,304,S3_twin_shock,indonesia,USDC
34,0.9599553968847024,2988133161732.808,304,S3_twin_shock,indonesia,USDC
35,0.9727350748088982,2987534567116.7397,304,S3_twin_shock,indonesia,USDC
36,0.994412301997606,2987534567116.7397,304,S3_twin_shock,indonesia,USDC
37,1.0070748579793127,2987534567116.7397,304,S3_twin_shock,indonesia,USDC
38,0.9980290768619385,2987534567116.7397,304,S3_twin_shock,indonesia,USDC
