Step,price,liquidity,iteration,scenario,region,coin
1,1.003514460701569,2989672706227.1885,737,S4_twin_shock_cex_intervention,indonesia,USDC
2,1.0153429714719338,2989672706227.1885,737,S4_twin_shock_cex_intervention,indonesia,USDC
3,250001.0347819492,2989685206227.1885,737,S4_twin_shock_cex_intervention,indonesia,USDC
4,187502.0,2989694581227.1885,737,S4_twin_shock_cex_intervention,indonesia,USDC
5,140627.0,2989701612477.1885,737,S4_twin_shock_cex_intervention,indonesia,USDC
6,105470.75,2989706885914.6885,737,S4_twin_shock_cex_intervention,indonesia,USDC
7,79103.5625,2989710840992.8135,737,S4_twin_shock_cex_intervention,indonesia,USDC
8,59328.171875,2989713807301.407,737,S4_twin_shock_cex_intervention,indonesia,USDC
9,44496.62890625,2989716032032.8525,737,S4_twin_shock_cex_intervention,indonesia,USDC
10,33372.9716796875,2989717700581.4365,737,S4_twin_shock_cex_intervention,indonesia,USDC
11,25030.228759765625,2989718951992.8745,737,S4_twin_shock_cex_intervention,indonesia,USDC
12,18773.17156982422,2989719890551.453,737,S4_twin_shock_cex_intervention,indonesia,USDC
13,14080.378677368164,2989720594470.3867,737,S4_twin_shock_cex_intervention,indonesia,USDC
14,10560.784008026123,2989721122409.5874,737,S4_twin_shock_cex_intervention,indonesia,USDC
15,7921.088006019592,2989721518363.9873,737,S4_twin_shock_cex_intervention,indonesia,USDC
16,5941.316004514694,2989721815329.788,737,S4_twin_shock_cex_intervention,indonesia,USDC
17,4456.487003386021,2989722038054.138,737,S4_twin_shock_cex_intervention,indonesia,USDC
18,3342.8652525395155,2989722205097.4004,737,S4_twin_shock_cex_intervention,indonesia,USDC
19,2507.6489394046366,2989722330379.8477,737,S4_twin_shock_cex_intervention,indonesia,USDC
20,1881.2367045534775,2989722424341.6826,737,S4_twin_shock_cex_intervention,indonesia,USDC
21,1411.427528415108,2989722494813.0596,737,S4_twin_shock_cex_intervention,indonesia,USDC
22,1059.070646311331,2989722547666.592,737,S4_twin_shock_cex_intervention,indonesia,USDC
23,794.8029847334983,2989722587306.7407,737,S4_twin_shock_cex_intervention,indonesia,USDC
24,596.6022385501237,2989722617036.853,737,S4_twin_shock_cex_intervention,indonesia,USDC
25,447.9516789125928,2989722639334.4365,737,S4_twin_shock_cex_intervention,indonesia,USDC
26,336.4637591844446,2989722656057.625,737,S4_twin_shock_cex_intervention,indonesia,USDC
27,252.84781938833345,2989722668600.0156,737,S4_twin_shock_cex_intervention,indonesia,USDC
28,190.1358645412501,2989722678006.809,737,S4_twin_shock_cex_intervention,indonesia,USDC
29,143.1018984059376,2989722685061.9043,737,S4_twin_shock_cex_intervention,indonesia,USDC
30,107.82642380445319,2989722690353.225,737,S4_twin_shock_cex_intervention,indonesia,USDC
31,81.3698178533399,2989722694321.7163,737,S4_twin_shock_cex_intervention,indonesia,USDC
32,61.52736339000492,2989722697298.084,737,S4_twin_shock_cex_intervention,indonesia,USDC
33,46.6455225425037,2989722699530.3604,737,S4_twin_shock_cex_intervention,indonesia,USDC
34,35.484141906877774,2989722701204.5674,737,S4_twin_shock_cex_intervention,indonesia,USDC
35,27.11310643015833,2989722702460.2227,737,S4_twin_shock_cex_intervention,indonesia,USDC
36,20.834829822618744,2989722703401.9644,737,S4_twin_shock_cex_intervention,indonesia,USDC
37,16.12612236696406,2989722704108.2705,737,S4_twin_shock_cex_intervention,indonesia,USDC
38,12.594591775223044,2989722704638.0,737,S4_twin_shock_cex_intervention,indonesia,USDC
39,9.945943831417281,2989722705035.2974,737,S4_twin_shock_cex_intervention,indonesia,USDC
40,7.959457873562963,2989722705333.2705,737,S4_twin_shock_cex_intervention,indonesia,USDC
41,6.469593405172222,2989722705556.75,737,S4_twin_shock_cex_intervention,indonesia,USDC
42,5.352195053879166,2989722705724.3594,737,S4_twin_shock_cex_intervention,indonesia,USDC
43,4.514146290409375,2989722705850.067,737,S4_twin_shock_cex_intervention,indonesia,USDC
44,3.8856097178070312,2989722705944.3477,737,S4_twin_shock_cex_intervention,indonesia,USDC
45,3.414207288355273,2989722706015.0576,737,S4_twin_shock_cex_intervention,indonesia,USDC
46,3.060655466266455,2989722706068.091,737,S4_twin_shock_cex_intervention,indonesia,USDC
47,2.795491599699841,2989722706107.865,737,S4_twin_shock_cex_intervention,indonesia,USDC
48,2.596618699774881,2989722706137.696,737,S4_twin_shock_cex_intervention,indonesia,USDC
49,2.4474640248311608,2989722706160.0693,737,S4_twin_shock_cex_intervention,indonesia,USDC
50,2.3355980186233705,2989722706176.849,737,S4_twin_shock_cex_intervention,indonesia,USDC
51,2.251698513967528,2989722706189.4336,737,S4_twin_shock_cex_intervention,indonesia,USDC
52,2.188773885475646,2989722706198.8726,737,S4_twin_shock_cex_intervention,indonesia,USDC
53,2.1415804141067345,2989722706205.951,737,S4_twin_shock_cex_intervention,indonesia,USDC
54,2.093986122044731,2989722706211.2607,737,S4_twin_shock_cex_intervention,indonesia,USDC
55,2.0105042946106764,2989722706215.2427,737,S4_twin_shock_cex_intervention,indonesia,USDC
56,1.9846899487621883,2989722706218.229,737,S4_twin_shock_cex_intervention,indonesia,USDC
57,1.9962807614830007,2989722706220.4688,737,S4_twin_shock_cex_intervention,indonesia,USDC
58,1.955149841034372,2989722706222.1484,737,S4_twin_shock_cex_intervention,indonesia,USDC
59,1.9227697072430727,2989722706223.408,737,S4_twin_shock_cex_intervention,indonesia,USDC
60,1.8339802766916937,2989722706224.353,737,S4_twin_shock_cex_intervention,indonesia,USDC
61,1.7794199699887272,2989722706225.0615,737,S4_twin_shock_cex_intervention,indonesia,USDC
62,1.7004651204847863,2989722706225.5933,737,S4_twin_shock_cex_intervention,indonesia,USDC
63,1.6042837772664207,2989722706225.992,737,S4_twin_shock_cex_intervention,indonesia,USDC
64,1.5204219725827501,2989722706226.291,737,S4_twin_shock_cex_intervention,indonesia,USDC
65,1.4215432270214656,2989722706226.5146,737,S4_twin_shock_cex_intervention,indonesia,USDC
66,1.406176578602393,2989722706226.683,737,S4_twin_shock_cex_intervention,indonesia,USDC
67,1.3364685534990441,2989722706226.809,737,S4_twin_shock_cex_intervention,indonesia,USDC
68,1.3300707873762014,2989722706226.9033,737,S4_twin_shock_cex_intervention,indonesia,USDC
69,1.3117944264442278,2989722706226.9746,737,S4_twin_shock_cex_intervention,indonesia,USDC
70,1.2679908778648803,2989722706227.0273,737,S4_twin_shock_cex_intervention,indonesia,USDC
71,1.255150819958471,2989722706227.0674,737,S4_twin_shock_cex_intervention,indonesia,USDC
72,1.2867870961817447,2989722706227.0977,737,S4_twin_shock_cex_intervention,indonesia,USDC
73,1.2543071737747082,2989722706227.12,737,S4_twin_shock_cex_intervention,indonesia,USDC
74,1.2114850977303888,2989722706227.1367,737,S4_twin_shock_cex_intervention,indonesia,USDC
75,1.1670061070726763,2989722706227.1494,737,S4_twin_shock_cex_intervention,indonesia,USDC
76,1.1742880772253446,2989722706227.1587,737,S4_twin_shock_cex_intervention,indonesia,USDC
77,1.1756979978654973,2989722706227.1655,737,S4_twin_shock_cex_intervention,indonesia,USDC
78,1.1714521944815135,2989722706227.171,737,S4_twin_shock_cex_intervention,indonesia,USDC
79,1.149534724530985,2989722706227.1753,737,S4_twin_shock_cex_intervention,indonesia,USDC
80,1.1082640786767668,2989722706227.178,737,S4_twin_shock_cex_intervention,indonesia,USDC
81,1.085535374657291,2989722706227.18,737,S4_twin_shock_cex_intervention,indonesia,USDC
82,1.0403335906045574,2989722706227.182,737,S4_twin_shock_cex_intervention,indonesia,USDC
83,1.0208710639044185,2989722706227.183,737,S4_twin_shock_cex_intervention,indonesia,USDC
84,1.001938465476403,2989722706227.183,737,S4_twin_shock_cex_intervention,indonesia,USDC
85,1.0166859758375537,2989722706227.183,737,S4_twin_shock_cex_intervention,indonesia,USDC
86,1.0194191297851423,2989722706227.183,737,S4_twin_shock_cex_intervention,indonesia,USDC
87,0.9968124933238462,2989722706227.183,737,S4_twin_shock_cex_intervention,indonesia,USDC
88,0.9994720971887561,2989722706227.183,737,S4_twin_shock_cex_intervention,indonesia,USDC
89,0.9863890477448393,2989722706227.183,737,S4_twin_shock_cex_intervention,indonesia,USDC
90,0.9616331653705772,2989722706227.1846,737,S4_twin_shock_cex_intervention,indonesia,USDC
91,0.9542450827732355,2989205170064.5405,737,S4_twin_shock_cex_intervention,indonesia,USDC
92,0.948850824437473,2988285808166.899,737,S4_twin_shock_cex_intervention,indonesia,USDC
93,0.9298980684407794,2987008940822.1475,737,S4_twin_shock_cex_intervention,indonesia,USDC
94,0.9453809013949156,2984640601998.424,737,S4_twin_shock_cex_intervention,indonesia,USDC
95,0.9586347696444903,2983298378817.203,737,S4_twin_shock_cex_intervention,indonesia,USDC
96,0.9608376258921492,2982746871114.4663,737,S4_twin_shock_cex_intervention,indonesia,USDC
97,0.9603416937740029,2982246018294.411,737,S4_twin_shock_cex_intervention,indonesia,USDC
98,0.9459260826630249,2981723042797.5566,737,S4_twin_shock_cex_intervention,indonesia,USDC
99,0.9096534951301816,2980480992648.66,737,S4_twin_shock_cex_intervention,indonesia,USDC
100,0.9268317448354062,2977401809640.9316,737,S4_twin_shock_cex_intervention,indonesia,USDC
101,0.7731525027332973,2975339523908.0195,737,S4_twin_shock_cex_intervention,indonesia,USDC
102,0.7880868228000427,2966082249275.2944,737,S4_twin_shock_cex_intervention,indonesia,USDC
103,0.7744081078508702,2959263403917.13,737,S4_twin_shock_cex_intervention,indonesia,USDC
104,0.8132977528285108,2953650296842.6787,737,S4_twin_shock_cex_intervention,indonesia,USDC
105,0.8295611530637653,2949938098217.036,737,S4_twin_shock_cex_intervention,indonesia,USDC
106,0.8472831733353442,2947188869416.6626,737,S4_twin_shock_cex_intervention,indonesia,USDC
107,0.8603098600526101,2945025192302.623,737,S4_twin_shock_cex_intervention,indonesia,USDC
108,0.8942878795470817,2943294747107.615,737,S4_twin_shock_cex_intervention,indonesia,USDC
109,0.9238690101201794,2942235398660.2637,737,S4_twin_shock_cex_intervention,indonesia,USDC
110,0.9083953820976303,2941656569808.9766,737,S4_twin_shock_cex_intervention,indonesia,USDC
111,0.9219782611885449,2940955001504.4614,737,S4_twin_shock_cex_intervention,indonesia,USDC
112,0.9642979846790902,2940414109563.7837,737,S4_twin_shock_cex_intervention,indonesia,USDC
113,0.9883990929276296,2940351261578.601,737,S4_twin_shock_cex_intervention,indonesia,USDC
114,1.0038446140249158,2940351261578.601,737,S4_twin_shock_cex_intervention,indonesia,USDC
115,0.9856430640486624,2940351261578.601,737,S4_twin_shock_cex_intervention,indonesia,USDC
116,0.9828360102127423,2940351261578.601,737,S4_twin_shock_cex_intervention,indonesia,USDC
117,0.969836581720932,2940351261578.601,737,S4_twin_shock_cex_intervention,indonesia,USDC
118,0.9613679561336796,2940351261578.601,737,S4_twin_shock_cex_intervention,indonesia,USDC
119,0.9428898129021281,2940270708552.6235,737,S4_twin_shock_cex_intervention,indonesia,USDC
120,0.9790372770917612,2939996663341.0244,737,S4_twin_shock_cex_intervention,indonesia,USDC
121,0.9632064544764726,2866496746757.4985,737,S4_twin_shock_cex_intervention,indonesia,USDC
122,0.9418036087680279,2794764171716.937,737,S4_twin_shock_cex_intervention,indonesia,USDC
123,0.928454293668901,2724625852340.7925,737,S4_twin_shock_cex_intervention,indonesia,USDC
124,0.9137276625622123,2656131393266.627,737,S4_twin_shock_cex_intervention,indonesia,USDC
125,0.903983464393,2589202601617.219,737,S4_twin_shock_cex_intervention,indonesia,USDC
