Step,price,liquidity,iteration,scenario,region,coin
1,1.015266700304397,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
2,0.9957160803261293,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
3,1.013526785831709,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
4,1.0177012696142118,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
5,1.0231418275326505,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
6,1.0605839301819515,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
7,1.035940933184869,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
8,1.0019377885536267,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
9,1.015625503170981,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
10,0.9948454335557241,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
11,1.0176096772207766,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
12,1.0447039111246221,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
13,0.9999284533073954,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
14,1.0165369689493515,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
15,0.9998550531935656,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
16,0.969164377860922,2989730642181.2793,587,S1_depeg_stablecoin,indonesia,USDC
17,0.9709123920149135,2989695997247.8438,587,S1_depeg_stablecoin,indonesia,USDC
18,0.9923810967752899,2989695997247.8438,587,S1_depeg_stablecoin,indonesia,USDC
19,0.9857839750237981,2989695997247.8438,587,S1_depeg_stablecoin,indonesia,USDC
20,0.9941384935982714,2989695997247.8438,587,S1_depeg_stablecoin,indonesia,USDC
21,0.9782649198316273,2989695997247.8438,587,S1_depeg_stablecoin,indonesia,USDC
22,0.9807520383974231,2989695997247.8438,587,S1_depeg_stablecoin,indonesia,USDC
23,0.9531125254958355,2989695997247.8438,587,S1_depeg_stablecoin,indonesia,USDC
24,0.9605679198903573,2988665165898.6016,587,S1_depeg_stablecoin,indonesia,USDC
25,0.9628348233072321,2988114351362.5923,587,S1_depeg_stablecoin,indonesia,USDC
26,0.9542910314413239,2987693665135.9463,587,S1_depeg_stablecoin,indonesia,USDC
27,0.9737519207214348,2986794480632.3184,587,S1_depeg_stablecoin,indonesia,USDC
28,0.9467244996162665,2986794480632.3184,587,S1_depeg_stablecoin,indonesia,USDC
29,0.9790327652767126,2985440671730.6035,587,S1_depeg_stablecoin,indonesia,USDC
30,0.9906331761084232,2985440671730.6035,587,S1_depeg_stablecoin,indonesia,USDC
31,0.965558748518341,2985440671730.6035,587,S1_depeg_stablecoin,indonesia,USDC
32,0.9648645516564878,2985185597244.749,587,S1_depeg_stablecoin,indonesia,USDC
33,0.9799944386706478,2984912706360.0254,587,S1_depeg_stablecoin,indonesia,USDC
34,0.9763016864593234,2984912706360.0254,587,S1_depeg_stablecoin,indonesia,USDC
35,0.9584600970595097,2984912706360.0254,587,S1_depeg_stablecoin,indonesia,USDC
36,0.9836633699781034,2984256215984.0684,587,S1_depeg_stablecoin,indonesia,USDC
37,0.9789944340498588,2984256215984.0684,587,S1_depeg_stablecoin,indonesia,USDC
38,1.0099145827842233,2984256215984.0684,587,S1_depeg_stablecoin,indonesia,USDC
39,0.999314184590563,2984256215984.0684,587,S1_depeg_stablecoin,indonesia,USDC
40,0.9927091234543602,2984256215984.0684,587,S1_depeg_stablecoin,indonesia,USDC
41,0.9817533852313908,2984256215984.0684,587,S1_depeg_stablecoin,indonesia,USDC
42,0.9793953552121557,2984256215984.0684,587,S1_depeg_stablecoin,indonesia,USDC
43,0.9888028170663926,2984256215984.0684,587,S1_depeg_stablecoin,indonesia,USDC
44,0.9709513545593806,2984256215984.0684,587,S1_depeg_stablecoin,indonesia,USDC
45,0.9511902830756619,2984256215984.0684,587,S1_depeg_stablecoin,indonesia,USDC
46,0.9241896165143361,2983242926992.7554,587,S1_depeg_stablecoin,indonesia,USDC
47,0.8980113922770433,2980784463335.8447,587,S1_depeg_stablecoin,indonesia,USDC
48,0.8817375610504652,2977087115651.8105,587,S1_depeg_stablecoin,indonesia,USDC
49,0.8807147824191008,2972778045704.8433,587,S1_depeg_stablecoin,indonesia,USDC
50,0.8916509199012548,2968849218213.2505,587,S1_depeg_stablecoin,indonesia,USDC
51,0.9057979292574694,2965689522907.191,587,S1_depeg_stablecoin,indonesia,USDC
52,0.9144978792185959,2963358838716.464,587,S1_depeg_stablecoin,indonesia,USDC
53,0.9460317515805052,2961456650209.7637,587,S1_depeg_stablecoin,indonesia,USDC
54,0.9828531044213272,2960686377969.1904,587,S1_depeg_stablecoin,indonesia,USDC
55,0.978314124515938,2960686377969.1904,587,S1_depeg_stablecoin,indonesia,USDC
56,0.9614591336051229,2960686377969.1904,587,S1_depeg_stablecoin,indonesia,USDC
57,1.0045245214036769,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
58,1.0270983116290864,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
59,1.0473658429608943,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
60,1.03256236816351,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
61,1.0470040586208413,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
62,1.0460948868162596,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
63,1.0409934566942192,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
64,1.0362236550791477,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
65,1.0432811485429982,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
66,1.0697119216319908,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
67,1.1113011804663757,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
68,1.093978887096341,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
69,1.0903968624127158,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
70,1.0808756591685176,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
71,1.0830192662146607,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
72,1.0252483759007869,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
73,1.0194679228435741,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
74,1.0587629684183013,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
75,1.0401396505636955,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
76,1.0285884048356386,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
77,1.0162736353109965,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
78,1.01243267447113,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
79,0.9870770422308126,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
80,0.9776100388450001,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
81,0.9864858721922549,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
82,0.9948439909725703,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
83,0.9996979763399606,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
84,1.026183475821903,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
85,1.0338165511580852,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
86,1.0574676201886886,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
87,1.0988788933374207,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
88,1.1086349418921597,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
89,1.0719958805859002,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
90,1.0711333533941303,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
91,1.067146288525355,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
92,1.0931885836439987,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
93,1.0816840683289537,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
94,1.0571691731031923,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
95,1.0418741904605635,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
96,1.0131112138626386,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
97,0.9575049463715749,2960423597836.667,587,S1_depeg_stablecoin,indonesia,USDC
98,0.9996691169697756,2960095458468.5234,587,S1_depeg_stablecoin,indonesia,USDC
99,0.9998531823963042,2960095458468.5234,587,S1_depeg_stablecoin,indonesia,USDC
100,0.9776755689772021,2960095458468.5234,587,S1_depeg_stablecoin,indonesia,USDC
101,0.859043444833572,2960095458468.5234,587,S1_depeg_stablecoin,indonesia,USDC
